0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:37 -0300] "GET /ProjetoJSF/CadastroLancamento.xhtml HTTP/1.1" 200 4215
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:38 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:38 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:40 -0300] "GET /ProjetoJSF/Home.xhtml HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:40 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:41 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:48 -0300] "GET /ProjetoJSF/Home.xhtml HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:49 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:49 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:50 -0300] "GET /ProjetoJSF/ConsultaLancamento.xhtml HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:50 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:50 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:50 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:54 -0300] "GET /ProjetoJSF/CadastroLancamento.xhtml HTTP/1.1" 200 4217
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:54 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:54 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:58 -0300] "GET /ProjetoJSF/ConsultaPessoas.xhtml HTTP/1.1" 200 3529
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:58 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-pessoas.css.xhtml?ln=css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:58 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:58 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:51:00 -0300] "GET /ProjetoJSF/CadastroPessoas.xhtml HTTP/1.1" 200 3838
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:51:00 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:51:00 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:51:01 -0300] "GET /ProjetoJSF/Home.xhtml HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:51:02 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:51:02 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:42 -0300] "GET /ProjetoJSF/ConsultaLancamento.xhtml HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:43 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:43 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:43 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:54 -0300] "GET /ProjetoJSF/CadastroLancamento.xhtml HTTP/1.1" 200 4221
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:54 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:54 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:57 -0300] "POST /ProjetoJSF/CadastroLancamento.xhtml HTTP/1.1" 200 4619
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:57 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&amp;stage=Development HTTP/1.1" 200 106428
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:59 -0300] "GET /ProjetoJSF/CadastroLancamento.xhtml HTTP/1.1" 200 4219
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:59 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:52:59 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:05 -0300] "GET /ProjetoJSF/ConsultaPessoas.xhtml HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:05 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:05 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-pessoas.css.xhtml?ln=css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:05 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:19 -0300] "GET /ProjetoJSF/CadastroPessoas.xhtml HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:20 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:20 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:25 -0300] "POST /ProjetoJSF/CadastroPessoas.xhtml HTTP/1.1" 200 4118
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:25 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&amp;stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:26 -0300] "GET /ProjetoJSF/CadastroPessoas.xhtml HTTP/1.1" 200 3838
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:27 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:27 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:35 -0300] "GET /ProjetoJSF/Home.xhtml HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:35 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:53:35 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [14/Sep/2016:14:28:28 -0300] "GET /ProjetoJSF/Home.xhtml HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [14/Sep/2016:14:28:29 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
